reactions,data_type,kcat,MW,kcat_MW
rxn03462,UniKP,11.46485377,114487.7733,360.5055142
rxn02687,UniKP,11.43457455,37127.2144,554.3705477
rxn05371,UniKP,11.39800959,44339.7899,363.9059636
rxn02342_reverse,UniKP,11.33832461,38653.4201,461.2941056
rxn01241,UniKP,11.33832461,49745.3885,410.2688695
rxn29962,UniKP,11.33420025,38700.1519,1054.340071
rxn05034,UniKP,11.26965655,35066.9096,1156.952923
rxn05029,UniKP,11.26965655,21033.8158,1928.835165
rxn16806,UniKP,11.18079126,13719.4375,2933.855599
rxn06515_reverse,UniKP,11.1794825,28903.8012,1392.416752
rxn08839,UniKP,11.17265696,41794.9076,962.3556399
rxn03120,UniKP,11.11759512,42842.1741,467.1021402
rxn05408_reverse,UniKP,11.09728488,32747.2721,1219.955831
rxn05458_reverse,UniKP,11.03470102,32747.2721,1213.075811
rxn05457_reverse,UniKP,11.03470102,32747.2721,1213.075811
rxn08847,UniKP,11.03470102,41794.9076,950.4728193
rxn05287,UniKP,10.94973293,32291.772,1220.714631
rxn03445_reverse,UniKP,10.92207143,41924.4962,937.8635572
rxn03408,UniKP,10.92207143,42379.2013,927.8008063
rxn00912_reverse_num1,UniKP,10.92010719,29231.1156,134.4881476
rxn00305,UniKP,10.92010719,45362.3748,866.629802
rxn08848,UniKP,10.88476142,41794.9076,937.5577879
rxn05459_reverse,UniKP,10.88476142,32747.2721,1196.592528
rxn08850,UniKP,10.80843707,41794.9076,930.983598
rxn06060_reverse_num1,UniKP,10.80843707,39392.6706,987.7566781
rxn05937_reverse,UniKP,10.80843707,31188.1544,1247.601027
rxn03839,UniKP,10.8039969,31723.7283,1226.034609
rxn09115,UniKP,10.78908203,23935.3345,811.3672969
rxn03282_num1,UniKP,10.78908203,36122.01,1075.263954
rxn04744,UniKP,10.78908203,37127.2144,523.0758075
rxn00861,UniKP,10.78908203,44228.057,439.0956549
rxn09206,UniKP,10.74397391,29355.374,1317.588599
rxn12510,UniKP,10.69970808,29706.829,648.3180867
rxn00678,UniKP,10.54229873,34649.9222,91.27551862
rxn01210,UniKP,10.54229873,48082.2129,789.3204813
rxn05405_reverse_num1,UniKP,10.52514568,25694.4805,368.6640449
rxn06300,UniKP,10.38976327,97113.6445,385.1482248
rxn08849,UniKP,10.34393355,41794.9076,890.9736359
rxn05872_reverse_num1,UniKP,10.34393355,36122.01,1030.899465
rxn05814_reverse,UniKP,10.34393355,24759.8771,1503.971956
rxn09198,UniKP,10.29174234,26959.1633,1374.310916
rxn05350,UniKP,10.26813235,34208.4536,327.8322034
rxn01653,UniKP,10.25251788,24041.2053,1535.241844
rxn00048,UniKP,10.24278137,21839.5385,1688.406233
rxn00743,UniKP,10.22241183,63010.6888,584.038729
rxn09345_reverse,UniKP,10.22241183,27714.5749,663.922913
rxn00532,UniKP,10.22241183,37127.2144,495.6025276
LIPOS_reverse,UniKP,10.15689396,35661.4601,1025.331497
rxn12641_num1,UniKP,10.15689396,29848.9962,1224.99323
rxn12640_num1,UniKP,10.15689396,29848.9962,1224.99323
rxn05379,UniKP,10.11076775,44339.7899,322.8080002
rxn07992,UniKP,10.09230493,25694.4805,353.5029416
rxn05335_reverse,UniKP,10.040583,17270.3157,2092.961092
rxn03435_reverse,UniKP,10.01028282,36574.4253,985.3064775
rxn00544,UniKP,9.99269218,60924.8361,147.6150539
rxn10199_num1,UniKP,9.99269218,75291.4901,477.7922684
rxn05346,UniKP,9.922662445,44339.7899,316.8023339
rxn05384,UniKP,9.914673881,34208.4536,316.5472818
rxn05383,UniKP,9.914673881,32747.2721,1089.948068
rxn05368_num1,UniKP,9.875323919,25694.4805,345.9027524
rxn05005_num1,UniKP,9.843843454,51583.9245,686.9938024
rxn04996,UniKP,9.843843454,36503.7903,970.7988169
rxn05127,UniKP,9.822380932,37127.2144,476.2082468
rxn05126,UniKP,9.822380932,37127.2144,476.2082468
