,kcat,MW,kcat_MW
rxn00883_num2,2.0070672,29975.5665,24.10443826
rxn00898,13.19973,131356.0298,36.17574928
rxn00902,7.662147,250043.2892,11.03158149
rxn00903,11.282659,40494.7051,100.3034157
rxn00903_reverse,9.7223015,40494.7051,86.43175772
rxn00907,8.338247,62886.275,47.73329188
rxn00907_reverse,10.3371935,62886.275,59.17650012
rxn00912_num1,7.4742913,292311.156,9.205070736
rxn00912_num2,10.178597,317839.963,11.52874197
rxn00912_num3,4.0126143,56449.6157,25.58991997
rxn00912_reverse_num1,19.37762,292311.156,23.86478606
rxn00912_reverse_num2,25.387299,317839.963,28.75480967
rxn00912_reverse_num3,6.2712455,56449.6157,39.9940434
rxn00917,2.061855,115673.085,6.416944789
rxn00921,4.607616,26959.1633,61.52793918
rxn00927,2.0844984,50846.8577,14.7584228
rxn00929_num1,97.1326,29412.4881,1188.873783
rxn00929_num2,55.72915,30094.5411,666.6489425
rxn00931_num1,78.8616,29412.4881,965.2422435
rxn00931_num2,45.246296,30094.5411,541.2498734
rxn00952,5.6834574,176724.7804,11.5775765
rxn00966,36.3508,11764.2587,1112.376762
rxn00974,2.6450222,81995.4223,11.61294088
rxn00974_reverse,2.0844984,81995.4223,9.151967304
rxn00980_num2,8.552299,25689.3557,119.8483791
rxn01000,5.2324657,36222.8043,52.00281117
rxn01018,60.092667,34649.9222,624.3407992
rxn01019,77.93751,34017.5911,824.7939579
rxn01029,3.3087344,35748.8391,33.31980601
rxn01066,123.83456,76904.4252,579.6862987
rxn01069,28.622375,50403.6898,204.4305693
rxn01100,134.45177,41387.1704,1169.508249
rxn01100_reverse,175.76114,41387.1704,1528.831514
rxn01101_num2,143.63773,56312.066,918.2682589
rxn01101_reverse_num2,131.94133,56312.066,843.4938047
rxn01102,25.411358,39727.3283,230.271938
rxn01106,96.21932,51876.0502,667.7253774
rxn01106_reverse,71.44594,51876.0502,495.8075702
rxn01116,14.00948,23754.1211,212.3173818
rxn01116_reverse,14.00948,23754.1211,212.3173818
rxn01117,63.425457,36189.5784,630.9320398
rxn01117_reverse,46.806053,36189.5784,465.6086041
rxn01137_num1,6.6565123,58348.0417,41.06983471
rxn01137_num2,8.621029,37880.8299,81.92984283
rxn01143,3.9863021,88377.0012,16.23803406
rxn01157,6.4447393,36222.8043,64.05098095
rxn01157_reverse,12.780847,36222.8043,127.0223278
rxn01171,1961.3295,41889.1771,16855.8723
rxn01171_reverse,1961.3295,41889.1771,16855.8723
rxn01200,8.815278,72109.3237,44.00956655
rxn01200_reverse,12.230637,72109.3237,61.06047171
rxn01208,16.956,75455.172,80.89783428
rxn01210,7.0958405,48082.2129,53.1278081
rxn01213,2.6429548,32291.772,29.46458708
rxn01216,99.93143,49902.8435,720.9071122
rxn01216_reverse,88.71318,49902.8435,639.9784573
rxn01219,32.386414,22854.6691,510.1412315
rxn01219_reverse,26.679438,22854.6691,420.2466305
rxn01222,29.558289,30916.4175,344.1855461
rxn01225_num1,32.96992,47476.7214,249.9998073
rxn01225_num2,6.8576474,58348.0417,42.3108127
rxn01225_num3,8.881525,37880.8299,84.40546336
rxn01231,7.064275,43423.7616,58.56560801
rxn01241,40.238125,99490.777,145.5986719
rxn01255,18.811684,153327.2992,44.16830059
rxn01256,23.258766,11764.2587,711.7452934
rxn01257_num1,6.4607406,22648.8802,102.6923449
rxn01257_num2,8.700948,22955.9468,136.4501019
rxn01257_num3,24.898243,54660.2172,163.9833857
rxn01257_reverse_num1,7.4976373,22648.8802,119.173637
rxn01257_reverse_num2,9.513752,22955.9468,149.1966657
rxn01257_reverse_num3,33.531544,54660.2172,220.8435396
rxn01268,19.0383,64100.9136,106.9218458
rxn01269,18.095522,64100.9136,101.6270682
rxn01270_num2,24.591444,80682.9686,109.7247659
rxn01270_num4,13.558583,40262.753,121.2309024
rxn01270_reverse_num2,26.177021,80682.9686,116.7994649
rxn01270_reverse_num4,19.265526,40262.753,172.2582
rxn01274,40.358574,26826.3176,541.598249
rxn01275,9.354154,18812.1026,179.0068613
rxn01292,26.979475,52267.0764,185.8265598
rxn01292_reverse,21.904537,52267.0764,150.8719038
rxn01300,7.588598,36737.325,74.36293415
rxn01300_reverse,8.297491,36737.325,81.309588
rxn01301,18.28753,45534.6443,144.5824581
rxn01302,16.725134,45534.6443,132.2300488
rxn01303_num1,14.565697,82368.2498,63.66107004
rxn01303_num2,18.713161,86263.8696,78.09454864
rxn01329,76.44441,49902.8435,551.4713325
rxn01329_reverse,97.00042,49902.8435,699.762754
rxn01331,34.804882,144406.7544,86.76711538
rxn01332,5.5384173,48916.3328,40.76001028
rxn01334,26.177021,32790.9815,287.3877856
rxn01334_reverse,36.318974,32790.9815,398.7325186
rxn01351,30.451435,30916.4175,354.5856049
rxn01362_num1,7.129025,41559.8156,61.75313733
rxn01362_num2,5.7762403,54737.5608,37.98938933
rxn01368_num1,72.02591,17168.1737,1510.31368
rxn01368_num2,11.568785,62886.275,66.22689291
rxn01388,2.4921398,81995.4223,10.94171239
rxn01388_reverse,2.6450222,81995.4223,11.61294088
rxn01396,3.200642,36737.325,31.36404515
rxn01396_reverse,9.346747,36737.325,91.59156035
rxn01454,2.0919511,41256.7707,18.2540316
rxn01465_num1,58.477573,43147.2478,487.9089016
rxn01465_num2,28.622375,48678.1523,211.6772004
rxn01465_reverse_num1,28.622375,43147.2478,238.811408
rxn01465_reverse_num2,15.318192,48678.1523,113.285917
rxn01466,3.8918803,32291.772,43.38804659
rxn01476,29.302698,25530.8671,413.1849983
rxn01479,6.857079,24672.472,100.0527406
rxn01484,53.481537,41124.6074,468.1711155
rxn01485,89.71085,47894.2165,674.3174513
rxn01485_reverse,64.65939,47894.2165,486.0165193
rxn01486_num1,3.2552843,32291.772,36.29105111
rxn01486_num2,0.59704435,32577.0946,6.59776351
rxn01489_num2,0.75758994,32577.0946,8.371906143
rxn01499,59.97575,394993.2188,54.66238146
rxn01512,16.02821,24528.2085,235.2457009
rxn01513,7.4010105,23784.6958,112.0200907
rxn01513_reverse,3.8787382,23784.6958,58.70774063
rxn01518,9.736953,88377.0012,39.66306881
rxn01519_num1,5.9089108,15679.8113,135.665401
rxn01519_num2,17.255257,29095.264,213.5018441
rxn01520,2.635214,67172.1764,14.12306539
rxn01521_num1,34.534653,27724.9001,448.4227188
rxn01521_num2,5.855558,40700.7916,51.79262607
rxn01530_num1,23.940586,36122.01,238.5972143
rxn01530_num2,29.675459,160579.11,66.52898525
rxn01530_reverse_num1,58.991478,36122.01,587.9222136
rxn01530_reverse_num2,70.35963,160579.11,157.7382438
rxn01547,12.072551,28300.411,153.5708566
rxn01547_reverse,12.072551,28300.411,153.5708566
rxn01575,9.7223015,40494.7051,86.43175772
rxn01575_reverse,10.318724,40494.7051,91.73398425
rxn01600,30.502792,58279.8519,188.4185488
rxn01602,8.409977,16114.2011,187.8834514
rxn01602_reverse,13.366437,16114.2011,298.6134584
rxn01603,4.7572184,48082.2129,35.61813238
rxn01607_num2,5.4039545,32608.9234,59.659241
rxn01607_reverse_num2,2.7249446,32608.9234,30.08317828
rxn01626_num2,146.8945,33426.8232,1582.023505
rxn01635,11.998092,35145.1102,122.8994047
rxn01637,6.3605013,85719.8572,26.71236914
rxn01637_reverse,7.6043468,85719.8572,31.93618069
rxn01639,9.801223,56449.6157,62.50601065
rxn01641,25.449604,32482.2291,282.057534
rxn01641_reverse,20.662441,32482.2291,229.0014868
rxn01643,12.897575,74254.4288,62.52996724
rxn01644_num1,112.5111,123996.1904,326.6551647
rxn01653,3.5169957,24041.2053,52.66451645
rxn01671,1.5130811,34272.8783,15.89330173
rxn01672,3.3889008,61818.7212,19.73519129
rxn01673,16.02821,24528.2085,235.2457009
rxn01682_num1,5.8908606,292663.0664,7.246250243
rxn01682_num2,8.198033,290770.048,10.14991709
rxn01682_reverse_num1,10.684334,292663.0664,13.14262263
rxn01682_reverse_num2,12.812579,290770.048,15.86314846
rxn01739,24.088636,19608.3523,442.2558728
rxn01739_reverse,22.882458,19608.3523,420.1110197
rxn01740,146.02414,63115.7134,832.8938638
rxn01740_reverse,105.01698,63115.7134,598.9968387
rxn01790,0.91339105,36574.4253,8.990456454
rxn01790_reverse,1.6825749,36574.4253,16.56148959
rxn01791_num1,4.4957805,64518.2926,25.08561394
rxn01800_num1,72.02591,17168.1737,1510.31368
rxn01800_num2,11.918352,62886.275,68.228031
rxn01807,3.200642,36737.325,31.36404515
rxn01807_reverse,9.346747,36737.325,91.59156035
rxn01834_num1,2.7900333,15870.6512,63.28738344
rxn01834_reverse_num1,7.724187,15870.6512,175.2106631
rxn01843,26.358053,31723.7283,299.1104636
rxn01843_reverse,32.4648,31723.7283,368.4096614
rxn01851,14.206658,74254.4288,68.87665777
rxn01858_num1,8.621029,37880.8299,81.92984283
rxn01858_num2,6.8576474,58348.0417,42.3108127
rxn01871,9.354603,93665.7538,35.95398471
rxn01917,66.04705,31709.2349,749.8426901
rxn01917_reverse,74.39905,31709.2349,844.6642779
rxn01948,63.655018,394993.2188,58.01569594
rxn01962,20.440193,45873.1672,160.4090131
rxn01964_num1,7.042864,292663.0664,8.663310582
rxn01964_num2,8.445748,290770.048,10.45661099
rxn01973,18.633085,80038.1018,83.80896659
rxn01974,17.181734,58594.3764,105.5634452
