,fluxes,kcat_MW,E,equ,ec-code
rxn12644_num1,0.0,159966.47571153136,0.0,cpd00001_c0 + cpd11582_c0 --> cpd00035_c0 + cpd00161_c0,
rxn12645_num1,0.0,159966.47571153136,0.0,cpd00001_c0 + cpd11581_c0 --> cpd00033_c0 + cpd00132_c0,
rxn12646_num1,0.0,802792.0215286833,0.0,cpd00001_c0 + cpd11580_c0 --> cpd00033_c0 + cpd00053_c0,3.4.13.18
rxn12844_num1,0.0,159966.47571153136,0.0,cpd00001_c0 + cpd15603_c0 --> cpd00033_c0 + cpd00084_c0,
rxn12845_num1,0.0,159966.47571153136,0.0,cpd00001_c0 + cpd15604_c0 --> cpd00033_c0 + cpd00107_c0,
rxn12846_num1,0.0,159966.47571153136,0.0,cpd00001_c0 + cpd15605_c0 --> cpd00033_c0 + cpd00066_c0,
rxn12847_num1,0.0,159966.47571153136,0.0,cpd00001_c0 + cpd15606_c0 --> cpd00033_c0 + cpd00069_c0,
rxn13116,0.0,,,cpd00048_c0 + cpd00067_c0 --> cpd00048_p0 + cpd00067_p0,
rxn13251,0.019097903251557028,,,cpd00106_c0 + cpd00282_c0 --> cpd00036_c0 + cpd00247_c0,1.3.98.1
rxn13394,0.0,19593.153758360648,0.0,cpd00020_c0 + cpd00067_c0 + cpd00071_c0 --> cpd00011_c0 + cpd00361_c0,
rxn13438,0.0,,,cpd00121_c0 + cpd15419_c0 --> cpd00046_c0 + cpd00067_c0 + cpd16974_c0,
rxn13643,2.6972851115540344e-06,,,cpd00387_c0 --> cpd00008_c0 + cpd00155_c0,
rxn13822,0.0,,,cpd03091_c0 --> cpd03091_e0,
rxn14054_num1,0.0,,,cpd00003_c0 + cpd04015_c0 --> cpd00004_c0 + cpd00067_c0 + cpd04017_c0,
rxn14089_num1,0.0,,,cpd00003_c0 + cpd04016_c0 --> cpd00004_c0 + cpd00067_c0 + cpd15064_c0,
rxn14090,0.0,,,cpd00202_c0 + cpd18007_c0 --> cpd00012_c0 + cpd00067_c0 + cpd18036_c0,2.5.1.71
rxn14138,0.0,223270.42554044529,0.0,cpd00086_c0 + cpd03164_c0 --> cpd00010_c0 + cpd03232_c0,
rxn14293,0.0,,,cpd02616_c0 --> cpd00013_c0 + cpd08707_c0,
rxn14294,0.0,1.744447671064174,0.0,cpd00350_c0 --> cpd00012_c0 + cpd00067_c0 + cpd06559_c0,4.2.3.46
