reactions,data_type,kcat,MW,kcat_MW
rxn05012,DLkcat,24.4584,72109.32370000033,1221.0659521134796
rxn12641_num4,DLkcat,24.3984,49762.21770000008,1765.078890364644
rxn00693_num2,DLkcat,24.1669,38203.10160000004,2277.323996122868
rxn07261_reverse,DLkcat,24.029,38865.45770000002,2225.739901681383
rxn07100,DLkcat,24.029,38865.45770000002,2225.739901681383
rxn06805,DLkcat,23.953,28903.801200000024,2983.372304678041
rxn03395,DLkcat,23.953,28903.801200000024,2983.372304678041
rxn22120,DLkcat,23.953,28903.801200000024,2983.372304678041
rxn22482,DLkcat,23.953,28903.801200000024,2983.372304678041
rxn06570,DLkcat,23.953,28903.801200000024,2983.372304678041
rxn06515,DLkcat,23.953,28903.801200000024,2983.372304678041
rxn06804,DLkcat,23.953,28903.801200000024,2983.372304678041
rxn06060_reverse_num1,DLkcat,23.6774,39392.67060000003,2163.8197842824075
rxn00314_reverse_num2,DLkcat,23.654,30094.54109999999,2829.563000048538
rxn01465_reverse_num2,DLkcat,23.3987,48678.15230000007,1730.454341834168
rxn03137,DLkcat,23.3341,56449.61570000016,1488.1015390154332
rxn08521,DLkcat,23.1162,31443.13750000002,1323.3145070208077
rxn01331,DLkcat,22.8569,36101.68860000008,569.8129588320684
rxn02277,DLkcat,21.1502,53219.831600000056,715.3416096115561
rxn01530_reverse_num2,DLkcat,20.603,40144.77750000001,923.7913947835428
rxn05957,DLkcat,20.576,44181.195100000026,419.14665182970543
rxn03904_reverse,DLkcat,20.497,38865.45770000002,1898.5804970978115
rxn01682_reverse_num1,DLkcat,20.2982,44328.01430000002,499.3696054569869
rxn06874_num2,DLkcat,20.2297,56880.706700000126,640.172425987104
rxn00650_num1,DLkcat,20.0503,29848.99620000002,2418.207953003121
rxn00148_reverse,DLkcat,3204.0,51444.54920000013,224210.34257988931
rxn01602,DLkcat,19.3887,16114.201099999987,4331.54082953576
rxn00686_reverse,DLkcat,19.3887,16114.201099999987,4331.54082953576
rxn06570_reverse,DLkcat,19.2043,28903.801200000024,2391.916534493738
rxn06515_reverse,DLkcat,19.2043,28903.801200000024,2391.916534493738
rxn06804_reverse,DLkcat,19.2043,28903.801200000024,2391.916534493738
rxn06805_reverse,DLkcat,19.2043,28903.801200000024,2391.916534493738
rxn03395_reverse,DLkcat,19.2043,28903.801200000024,2391.916534493738
rxn08131,DLkcat,18.7961,66885.25580000017,505.8361457294435
rxn03903_reverse,DLkcat,18.7656,38865.45770000002,1738.2056972405078
rxn10208,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn10207,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn10209,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn10210,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn10206,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn10203,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn10205,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn10202,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn08552,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn10204,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn08550,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn08549,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn08551,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn08547,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn08546,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn08548,DLkcat,18.6984,37422.92610000001,690.7475356281137
rxn01639,DLkcat,18.6486,56449.61570000016,1189.289938779863
rxn01637_reverse,DLkcat,18.5831,42859.92859999998,780.439470914098
rxn03080,DLkcat,18.5518,14860.988899999991,4494.080471320453
rxn11755_num1,DLkcat,18.4605,33426.82320000002,1988.15782171008
rxn01332,DLkcat,18.2641,48916.33280000005,1344.147368299856
rxn02230_reverse_num1,DLkcat,18.222,32514.70320000005,2017.524182721124
rxn12641_num1,DLkcat,18.135,29848.99620000002,2187.209230171699
rxn00260_reverse_num3,DLkcat,17.9799,44113.94880000004,1467.282838211934
rxn00414,DLkcat,2660.0,40807.83710000004,234660.80734771385
rxn00527_num5,DLkcat,17.3331,43682.15320000007,1428.4817809759409
rxn02339_num1,DLkcat,17.3331,43682.15320000007,1428.4817809759409
rxn00260_num1,DLkcat,17.3331,43682.15320000007,1428.4817809759409
rxn00412_num1,DLkcat,17.1342,59793.24080000009,257.90172590879166
rxn00790_num1,DLkcat,17.0486,54737.5608000001,1121.258585567077
rxn03137_reverse,DLkcat,16.8653,56449.61570000016,1075.5623266359955
rxn00912_reverse_num3,DLkcat,16.8653,56449.61570000016,1075.5623266359955
rxn05071,DLkcat,16.8249,74108.42260000041,388.82015558605264
rxn00527_num9,DLkcat,16.5699,40262.753000000055,1481.5588988661534
rxn02320_num2,DLkcat,16.5699,40262.753000000055,1481.5588988661534
rxn00493_num1,DLkcat,16.5699,40262.753000000055,1481.5588988661534
rxn02320_num3,DLkcat,16.5699,40262.753000000055,493.2100053715328
rxn02320_num1,DLkcat,16.5699,40262.753000000055,1481.5588988661534
rxn00527_num8,DLkcat,16.5699,40262.753000000055,493.2100053715328
rxn00527_num7,DLkcat,16.5699,40262.753000000055,1481.5588988661534
rxn00527_num6,DLkcat,16.5699,40262.753000000055,1481.5588988661534
rxn00493_num2,DLkcat,16.5699,40262.753000000055,1481.5588988661534
rxn02320_num4,DLkcat,16.5699,40262.753000000055,1481.5588988661534
rxn00493_num3,DLkcat,16.5699,40262.753000000055,493.2100053715328
rxn00493_num4,DLkcat,16.5699,40262.753000000055,1481.5588988661534
rxn13394,DLkcat,16.321,60924.83610000011,241.0987200013161
rxn00168,DLkcat,16.321,60924.83610000011,241.0987200013161
rxn00011_num1,DLkcat,16.321,60924.83610000011,241.0987200013161
rxn01644_num1,DLkcat,16.3179,30999.047600000013,473.76003900197225
rxn00527_reverse_num5,DLkcat,16.274,43682.15320000007,1341.197622098901
rxn00394,DLkcat,16.1904,32116.40870000001,1814.8181057367092
rxn03422,DLkcat,15.9482,50575.08620000008,1135.2134877824471
rxn10770_reverse_num3,DLkcat,15.9349,36122.01000000002,1588.1076385284198
rxn12510_reverse,DLkcat,15.9103,29706.829000000023,964.0389420223872
rxn01964_num2,DLkcat,15.6141,36346.256,193.3168852384686
rxn00931_reverse_num1,DLkcat,15.5154,29412.488099999988,1899.038252394568
rxn00929_reverse_num1,DLkcat,15.5154,29412.488099999988,1899.038252394568
rxn30018,DLkcat,15.4732,58573.86410000012,950.9961628090692
rxn03333_reverse_num3,DLkcat,15.4378,40144.77750000001,692.1956411391242
rxn01029,DLkcat,15.3399,35748.83910000004,1544.7673656065642
rxn05733_num2,DLkcat,15.1051,32918.5824,1651.9046701111893
rxn00649_num2,DLkcat,15.1051,32918.5824,1651.9046701111893
rxn40142,DLkcat,15.1051,32918.5824,1651.9046701111893
rxn00931_reverse_num2,DLkcat,14.8236,30094.54109999999,1773.2438525204832
rxn00929_reverse_num2,DLkcat,14.8236,30094.54109999999,1773.2438525204832
rxn12641_num2,DLkcat,14.7797,52535.66840000006,1012.777064048926
rxn00650_num2,DLkcat,14.747,52535.66840000006,1010.536300704988
rxn00113_reverse,DLkcat,14.73,59793.24080000009,221.7140235690316
rxn12636_reverse_num4,DLkcat,14.6566,49762.21770000008,1060.3176956078448
rxn01100_reverse,DLkcat,14.6506,41387.17040000006,1274.3601335934752
rxn00423,DLkcat,14.5794,28211.80969999999,1860.4208860802007
rxn06445,DLkcat,14.4735,50313.729800000016,517.7970328091238
rxn06060_num1,DLkcat,14.3473,39392.67060000003,1311.1647220993432
rxn01973,DLkcat,14.3391,40019.05090000007,644.952326942865
rxn00806,DLkcat,14.0357,40494.70509999999,1247.7809104973585
rxn01575,DLkcat,14.0357,40494.70509999999,1247.7809104973585
rxn00903,DLkcat,14.0357,40494.70509999999,1247.7809104973585
rxn08044,DLkcat,13.9253,31816.335500000037,1575.6396584389786
rxn00555,DLkcat,13.8896,65986.9815000002,378.8820072031924
rxn06060_reverse_num2,DLkcat,13.7026,38073.94180000005,1295.6199875264804
rxn10199_num2,DLkcat,13.6379,95517.00090000044,514.007344633868
rxn01484,DLkcat,13.6035,41124.60740000007,1190.8344686106332
rxn00474_num2,DLkcat,13.5783,36346.256,168.11181322224775
rxn00527_reverse_num6,DLkcat,13.5163,40262.753000000055,1208.528388508355
