metname,inchikey
acryl,NIXOWILDQLNWCW-UHFFFAOYSA-M
ugmda,IMWOXEZVYQDRDF-MCZXNMLPSA-J
PEPTIDOGLYCAN,NA
pran,PMFMJXPRNJUYMB-GWOFURMSSA-K
2ddg6p,OVPRPPOVAXRCED-WVZVXSGGSA-K
mn2,WAEMQWOKJMHJLA-UHFFFAOYSA-N
tsul,DHCDFWKWKRSZHF-UHFFFAOYSA-M
cpd12044,NA
pc_SC,NA
34dhoxpeg,MTVWFVDWRVYDOR-UHFFFAOYSA-N
thbhaga,NA
sufse,NA
pgp141,NA
iletrna,NA
cpd04105,NA
hdca,IPCSVZSSVZVIGE-UHFFFAOYSA-M
2ippm,NJMGRJLQRLFQQX-HYXAFXHYSA-L
2agpe181,NA
2ahhmd,FCQGJGLSOWZZON-UHFFFAOYSA-L
ala__D,QNAYBMKLOCPYGJ-UWTATZPHSA-N
cpd06707,NA
cpd11557,NA
g3pe,JZNWSCPGTDBMEW-YFKPBYRVSA-N
octa,WWZKQHOCKIZLMA-UHFFFAOYSA-M
thrtrna,NA
pe180,LVNGJLRDBYCPGB-LDLOPFEMSA-N
2ameph,QQVDJLLNRSOCEL-UHFFFAOYSA-N
imacp,YCFFMSOLUMRAMD-UHFFFAOYSA-L
hx2coa,OINXHIBNZUUIMR-IXUYQXAASA-J
hhlipa,HHPCMWTVGVTYIC-CFEULOSXSA-H
34dhmald,YUGMCLJIWGEKCK-UHFFFAOYSA-N
argtrna,NA
cpd01047,NA
cpd12379,NA
cpd15166,NA
h2o,XLYOFNOQVPJJNP-UHFFFAOYSA-N
pnto__R,GHOKWGTUZJEAQD-ZETCQYMHSA-M
cpd12458,NA
k,NPYPAHLBTDXSSS-UHFFFAOYSA-N
CARBOHYDRATES,NA
ppi,XPPKVPWEQAFLFU-UHFFFAOYSA-K
alaala,DEFJQIDDEAULHB-QWWZWVQMSA-N
25dop,NA
s17bp,OKHXOUGRECCASI-SHUUEZRQSA-J
56dura,OIVLITBTBDPEFK-UHFFFAOYSA-N
hpglu,RXWVHRYZTWZATH-XSLAGTTESA-J
fgam,VDXLUNDMVKSKHO-ZRTZXPPTSA-L
trdox,NA
pydx,RADKZDMFGJYCBB-UHFFFAOYSA-N
cpd03424,NA
cpd12496,NA
gsn,NYHBQMYGNKIUIF-UUOKFMHZSA-N
t3c9palmeACP,NA
thbhet,NA
3hcpalm9eACP,NA
sl26da,GLXUWZBUPATPBR-BQBZGAKWSA-L
allphn,AVWRKZWQTYIKIY-UHFFFAOYSA-M
1tdec7eg3p,NA
fprica,ABCOOORLYAOBOZ-KQYNXXCUSA-L
cpd11540,NA
cpd11580,NA
lipidA,KVJWZTLXIROHIL-QDORLFPLSA-J
1odecg3p,LAYXSTYJRSVXIH-HXUWFJFHSA-L
gchola,NA
4pasp,IXZNKTPIYKDIGG-REOHCLBHSA-L
cpd15692,NA
peplys,NA
mal__L,BJEPYKJPYRNKOW-REOHCLBHSA-L
cdec3eACP,NA
cpd21481,NA
ppgpp,BUFLLCUFNHESEH-UUOKFMHZSA-I
13dpg,LJQLQCAXBUHEAZ-UWTATZPHSA-J
glx,HHLFWLYXYJOTON-UHFFFAOYSA-M
thbhga,NA
cpd03963,NA
cpd12232,NA
dmpp,CBIDRCWHNCKSTO-UHFFFAOYSA-K
cpd11532,NA
cpd02797,NA
cpd01373,NA
ser__L,MTCFGRXMJLQNBG-REOHCLBHSA-N
neoxan,PGYAYSRVSAJXTE-CLONMANBSA-N
pe181,NA
pant__R,OTOIIPJYVQJATP-BYPYZUCNSA-M
cpd15165,NA
cpd15698,NA
3dhsk,SLWWJZMPHJJOPH-PHDIDXHHSA-M
fadh2,YPZRHBJKEMOYQH-UYBVJOGSSA-L
cpd16395,NA
3ooctdACP,NA
phhlipa,XNYUHCDJIRFEJF-LIOVHSHWSA-G
3hanthrn,WJXSWCUQABXPFS-UHFFFAOYSA-M
cpd11571,NA
cpd04248,NA
cpd00788,NA
cpd00888,NA
apg181,NA
cpd00878,NA
btn,YBJHBAHKTGYVGT-ZKWXMUAHSA-M
zn2,PTFCDOFLOPIGGS-UHFFFAOYSA-N
apg161,NA
q10,ACTIUHUUMQJHFO-UPTCCGCDSA-N
ocdca,QIQXTHQIDYTFRH-UHFFFAOYSA-M
trptrna,NA
rbl__D,ZAQJHHRNXZUBTE-NQXXGFSBSA-N
2odecg3p,NA
cpd10502,NA
cpd02200,NA
cpd02708,NA
sl2a6o,SDVXSCSNVVZWDD-LURJTMIESA-K
cpd15700,NA
4nph,NA
3hmrsACP,NA
ibcoa,AEWHYWSPVRZHCT-NDZSKPAWSA-J
3haACP,NA
cpd10500,NA
apg120,AJCVDIXUOBZCPE-ZESVVUHVSA-M
glcn,RGHNJXZEOKUKBD-SQOUGZDYSA-M
clpn160,GRTNLBQYBYZCCM-ULKDXPJMSA-L
gam1p,YMJBYRVFGYXULK-QZABAPFNSA-M
2mecdp,SFRQRNJMIIUYDI-UHNVWZDZSA-L
dhpt,WBFYVDCHGVNRBH-UHFFFAOYSA-M
cpd12554,NA
urdglyc,NWZYYCVIOKVTII-SFOWXEAESA-M
srtn,QZAYGJVTTNCVMB-UHFFFAOYSA-O
asntrna,NA
cpd11569,NA
anth,RWZYAGGXGHYGMB-UHFFFAOYSA-M
u3hga,ZFPNNOXCEDQJQS-SSVOXRMNSA-M
cpd10537,NA
cpd11679,NA
cpd11575,NA
cpd11588,NA
g3pc,SUHOQUVVVLNYQR-MRVPVSSYSA-N
3oxoadp,RTGHRDFWYQHVFW-UHFFFAOYSA-L
ppcoa,QAQREVBBADEHPA-IEXPHMLFSA-J
cpd01043,NA
cyan,LELOWRISYMNNSU-UHFFFAOYSA-N
alatrna,NA
coucoa,DMZOKBALNZWDKI-MATMFAIHSA-J
amp,UDMBCSSLTHHNCD-KQYNXXCUSA-L
skm5p,QYOJSKGCWNAKGW-PBXRRBTRSA-K
cpd15087,NA
phenol,ISWSIDIOOBJBQZ-UHFFFAOYSA-N
dpcoa,KDTSHFARGAKYJN-IBOSZNHHSA-L
cpd31750,NA
crtn,NA
3pg,OSJPPGNTCRNQQC-UWTATZPHSA-K
cpd11536,NA
2odec11eg3p,NA
aps,IRLPACMLTUPBCL-KQYNXXCUSA-L
cmp,IERHLVCPSMICTF-XVFCMESISA-L
2agpg161,NA
cbi,XQRJFEVDQXEIAX-JFYQDRLCSA-M
4izp,MYNHYKDPSRPBNZ-UHFFFAOYSA-N
scl,KWIZRXMMFRBUML-AHGFGAHVSA-F
sufbcd,NA
db4p,OKYHYXLCTGGOLM-UHFFFAOYSA-L
cpd11625,NA
cpd11578,NA
cpd15130,NA
prlp,BLKFNHOCHNCLII-GHVQHMAVSA-J
cpd02601,NA
cpd11521,NA
acmum6p,NMEMTQKUEVNSPV-MKFCKLDKSA-K
cpd01512,NA
cpd11563,NA
trdrd,NA
malACP,NA
cpd10490,NA
xyl__D,SRBFZHDQGSBBOR-IOVATXLUSA-N
cpd09433,NA
g6p,NBSCHQHZLSJFNQ-GASJEMHNSA-L
Ncbmpts,YANFYYGANIYHGI-UHFFFAOYSA-O
cpd15696,NA
cpd11589,NA
cpd01061,NA
cpd02616,NA
o2,MYMOFIZGZYHOMD-UHFFFAOYSA-N
cpd32627,NA
histrna,NA
btamp,UTQCSTJVMLODHM-RHCAYAJFSA-N
r3mmal,NPYQJIHHTGFBLN-STHAYSLISA-L
3hcddec5eACP,NA
ps160,KLFKZIQAIPDJCW-GPOMZPHUSA-M
r15bp,AAAFZMYJJHWUPN-TXICZTDVSA-J
cpd15717,NA
pa120,NA
udp,XCCTYIAWTASOJW-XVFCMESISA-K
isetac,SUMDYPCJJOFFON-UHFFFAOYSA-M
cpd16396,NA
cpd15722,NA
sucorn,VWXQFHJBQHTHMK-LURJTMIESA-M
cpd21088,NA
2oph,VUNQJPPPTJIREN-CMAXTTDKSA-N
2omph,MYNOBJRQIKYBRD-MGHGRUFNSA-N
cpd08740,NA
cpd11432,NA
cpd02045,NA
cpd15666,NA
g3p,LXJXRIRHZLFYRP-VKHMYHEASA-L
cpd10571,NA
prephytedp,RVCNKTPCHZNAAO-UZDKSQMHSA-K
cpd11526,NA
dann,KCEGBPIYGIWCDH-UHFFFAOYSA-O
cpd09350,NA
cpd11519,NA
6a2ohxnt,GWENQMVPLJAMAE-UHFFFAOYSA-N
u23ga,KOJCFMYSTWNMQW-RUAJDYCTSA-L
dhlam,VLYUGYAKYZETRF-SSDOTTSWSA-N
cpd01567,NA
hphhlipa,OCKKDDJUVZAABC-XSAOWLIJSA-G
5hiu,LTQYPAVLAYVKTK-UHFFFAOYSA-N
cpd14940,NA
kdo2lipid4L,JVUUYJGQIVCMIU-ZODGSCPMSA-H
1tdecg3p,FAZBDRGXCKPVJU-MRXNPFEDSA-L
fe3dcit,NA
apg180,WCMVNCVROQLVSH-JBQXKKLXSA-M
ps161,NA
cpd11583,NA
tchola,WBWWGRHZICKQGZ-HZAMXZRMSA-M
cpd03244,NA
etha,HZAXFHJVJLSVMW-UHFFFAOYSA-O
4mop,BKAJNAXTPSGJCU-UHFFFAOYSA-M
btnCCP,NA
dcaACP,NA
3hddecACP,NA
cpd04097,NA
succoa,VNOYUJKHFWYWIR-ITIYDSSPSA-I
hmbil,WDFJYRZCZIUBPR-UHFFFAOYSA-F
cpd11483,NA
cpd11509,NA
fmettrna,NA
acgam,OVRNDRQMDRJTHS-RTRLPJTCSA-N
ocdcea,ZQPPMHVWECSIRJ-KTKRTIGZSA-M
octeACP,NA
oc2coa,CPSDNAXXKWVYIY-NTLMCJQISA-J
ACP,NA
cpd11556,NA
cdpdodecg,PDCWLWQTNQCGRI-IGIWICMZSA-L
cpd11545,NA
cpd11568,NA
cddec5eACP,NA
fe3,VTLYFUHAOXGGBS-UHFFFAOYSA-N
cpd11481,NA
mhpglu,HVRNKDVLFAVCJF-VJANTYMQSA-J
nac,PVNIIMVLHYAWGP-UHFFFAOYSA-M
cpd15683,NA
phllqne,MBWXNTAXLNYFJB-NKFFZRIASA-N
myrsACP,NA
