,kcat,MW,kcat_MW
rxn00242,4.054048131,81185.12999741989,179.7690448
rxn00251_reverse,8.511605464,394993.2188095727,77.57545753
rxn00256_num1,6.548617295,47544.513296782854,495.8515847
rxn00260_num1,4.241183568,43682.15319806283,349.5308662
rxn00262,2.028924605,58279.85187581033,125.3285371
rxn00279,6.086858134,59369.93371036834,369.0873126
rxn00285,14.50784481,144420.33043103898,361.6405056
rxn00293,13.66915416,147307.12073987335,334.0568652
rxn00305,10.92010719,45362.37479172219,866.629802
rxn00313,12.48015696,90496.75998078828,496.4660068
rxn00314_num1,2.028924605,29412.488096618425,248.3342638
rxn00322,2.028924605,43423.761584250475,168.2058005
rxn00337_num1,19.86394519,45450.45038548388,1573.366206
rxn00338,2.028924605,58279.85187581033,125.3285371
rxn00342,0.911897204,38700.151900471705,84.82731393
rxn00346,3.340548977,43423.76159998558,276.9446007
rxn00351,9.436707311,34927.62939954861,972.6439184
rxn00361,1.714301849,23370.295091884105,264.0739722
rxn00392,1.714301849,34272.87828919062,180.069109
rxn00394,2.878963699,32116.408699396692,322.7094727
rxn00405,2.878963699,43423.76160976362,238.6773723
rxn00412_num1,2.878963699,239172.96322131035,43.33378312
rxn00414,2660.0,40807.8371,234660.80734771412
rxn00420_num1,2.740877389,32079.37950791551,307.5857062
rxn00423,8.511605464,28211.809693739768,1086.133077
rxn00427,4.925042688,54598.681812077506,324.7359293
rxn00438,2.740877389,34612.114001193484,285.0781839
rxn00461,3.333680191,44754.36839751004,268.1581512
rxn00470_num1,3.333680191,43423.76160377202,276.3751514
rxn00474_num1,4.241183568,146331.53324183094,104.3401959
rxn00484,24.17567946,394993.2189131484,220.3390891
rxn00493_num1,19.03049099,40262.75299876632,1701.566894
rxn00497,5.102385745,394993.2188097593,46.50355451
rxn00500_num1,2.274157683,64714.91282469599,126.5082081
rxn00507,24.75898489,49622.112092598494,1796.222326
rxn00508,31.5247213,49622.11208986276,2287.065018
rxn00519,2.086234768,45362.3747827219,165.5655199
rxn00529,2.878963699,394993.2187936017,26.23910696
rxn00532,10.22241183,74254.42877826034,495.6025276
rxn00543_num1,470,16920.0,100000
rxn00544,9.99269218,243699.3443254774,147.6150539
rxn00549,5.802656922,35303.74940064744,591.7095287
rxn00555,2.786729691,131973.9629863226,76.01671315
rxn00566,28.8724069,75194.69879520025,1382.287136
rxn00599,13.63531948,88456.11401333608,554.9322472
rxn00601,3.154849509,37899.41710185146,299.6736916
rxn00604,305,53858.72849335683,20386.66769
rxn00611_reverse,19.79533916,36309.67741059776,1962.650898
rxn00612_reverse,9.308561969,36309.67739803953,922.9171254
rxn00633,200,188758.24001288487,3814.403016
rxn00640,6.154639726,52267.07639546178,423.9131886
rxn00646,6.449244727,105087.8462099243,220.9321235
rxn00650_num1,5.720657317,29848.99620159278,689.9517224
rxn00655,2.293382052,16114.20110006527,512.3539998
rxn00658,3.904687294,41124.60740155872,341.8117557
rxn00678,10.54229873,415799.0664068823,91.27551862
rxn00686,2.277589551,16114.201098439671,508.8258694
rxn00690,6.578777673,59285.44550470228,399.4842144
rxn00692,3.375240279,91625.53779287313,132.6143922
rxn00693_num1,3.375240279,97254.07316685378,124.9393944
rxn00700,3.375240279,29083.16779469144,417.7971633
rxn00707,23.20620886,22854.66910063408,3655.373505
rxn00710,6.578777673,25302.852400641368,936.0051289
rxn00721,2.786729691,104392.00299247145,96.10148862
rxn00726,3.989101485,135994.11178014922,105.5984348
rxn00727,5.796931222,135994.11182013983,153.4548233
rxn00730,23.7728344,87083.72881917431,982.7576862
rxn00735_reverse,3.325072573,75455.17202126002,158.6406994
rxn00743,10.22241183,63010.688779168275,584.038729
rxn00770,311.0,33609.3594,33312.14935325426
rxn00771,2.878963699,88377.00118641506,117.2733763
rxn00775,2.520381416,20264.671499891283,447.7434089
rxn00776_num1,6.578777673,87411.28098285747,270.9444291
rxn00780,4.992916908,39727.32829845229,452.4467574
rxn00781,8.32436468,144406.7544258232,207.5229304
rxn00785,9.373161632,72109.3236966683,467.9475572
rxn00789_num1,2.556968856,24535.316501073867,375.1770588
rxn00790_num1,6.548617295,54737.5608012729,430.6918671
rxn00791,8.235543057,72273.31580373998,410.2199363
rxn00792,4.06825787,29752.945805467232,492.2446479
rxn00806,9.533120424,40494.70510118226,847.4992827
rxn00816,4.241183568,114487.77328400282,133.3614971
rxn00838,999.0,46766.7761,76900.74663923647
rxn00851,5.720657317,35214.16500084007,584.8318806
rxn00853,9.533120424,31723.728302587013,1081.815895
rxn00859,5.720657317,46338.192703354,444.436115
rxn00861,10.78908203,88456.11400287168,439.0956549
rxn00863,2.83681123,46338.19269958496,220.3909957
rxn00866,12.75535526,394993.21869346214,116.2533349
rxn00881_num1,4.319600538,29975.566500988192,518.7745805
rxn00882_num1,2.028924605,29975.566493883878,243.6694092
rxn00902,450.0,62510.8223,25915.512552776003
rxn00903,12.37135521,40494.70507081466,1099.819808
rxn00907,30.63009453,62886.27500351117,1753.456383
rxn00912_num1,3.14087147,292311.15599105874,38.68185343
rxn00917,999.0,57836.5425,62182.1402965089
rxn00921,2.588472292,26959.163306950402,345.6524279
rxn00927,6.768778093,50846.857697049025,479.2351433
rxn00931_reverse_num1,6,29412.488099298807,734.3819376
rxn00952,1.21897753,176724.7804573153,24.83137394
rxn01000,4.524443867,36222.804297794646,449.6614284
rxn01018,417.0,34649.9222,43324.772602231125
rxn01019,4.319600538,34017.591104547515,457.1329548
rxn01029,8.800993822,35748.83909801461,886.2827034
rxn01066,9.320286073,76904.4251921136,436.2951778
rxn01069,4080.0,50403.6898,291407.23741221026
rxn01100,999,41387.170397677,86896.4939
rxn01102,9.320286073,39727.32829871421,844.5830943
rxn01137_num1,3.059608195,58348.04170386314,188.7739362
rxn01143,8.511605464,88377.0012106646,346.7166712
rxn01200,410000.0,72109.3237,20468920.304129828
rxn01208,3.032265629,75455.17200100323,144.6707492
rxn01210,10.54229873,48082.21289975034,789.3204813
rxn01213,3.143916867,32291.772003892816,350.494879
rxn01225_num1,6.548617295,47476.72139906827,496.55961
rxn01231,2.092399177,43423.76159840974,173.4680912
rxn01241,11.33832461,99490.77697692586,410.2688695
rxn01257_num1,3.416416044,22648.88019732728,543.0333708
rxn01268,5.935844298,64100.91360380535,333.3655992
rxn01269,1.631107702,64100.913603259025,91.60536718
rxn01274,0.614632473,26826.31759162164,82.48157412
rxn01275,3.131053205,18812.102596162233,599.177656
rxn01300,40.8,36737.325,3998.1136351108853
