,kcat,MW,kcat_MW
rxn00678,28.55021,346499.221952643,296.6262245
rxn00686,12.02088,161142.01100560027,268.5529846
rxn00690,29.293829,592854.4548664173,177.8814067
rxn00692,8.567145,916255.3778933608,33.66061771
rxn00693_num1,40.011734,972540.7318179455,148.109213
rxn00700,8.714275,290831.6780093644,107.8678575
rxn00704_num1,76.44441,499028.43499122415,551.4713325
rxn00707,17.332638,228546.69104144585,273.0185964
rxn00710,25.811317,253028.52399658153,367.2342538
rxn00721,0.82167053,1043920.0300245234,2.833563705
rxn00726,11.627825,1359941.1180245075,30.78086944
rxn00727,11.627825,1359941.1180245075,30.78086944
rxn00737,23.87017,446046.08191068127,192.6541124
rxn00743,12.07201,630106.8879905766,68.97121239
rxn00747,12.253514,525334.9639916373,83.97052057
rxn00770,311.0,201656.1564,5552.024892209043
rxn00775,4.161078,202646.71499637634,73.92116275
rxn00776_num1,26.177021,874112.8102556543,107.8090545
rxn00777,236.93437,169602.06700970538,5029.205994
rxn00780,22.558693,397273.2829368143,204.4217376
rxn00781,36.94002,1444067.544052315,92.08992512
rxn00783,8.700948,162642.8620069244,192.5901476
rxn00785,14.622445,721093.2369868015,73.00138082
rxn00786,20.629673,327909.81500364695,226.4855134
rxn00789_num1,5.5412607,245353.16500603597,81.30540529
rxn00791,4.4,72273.3158,219.16802660381057
rxn00792,9.827216,297529.4579811234,118.9057979
rxn00798,23.238403,232043.890010787,360.5277036
rxn00799,28.488798,1102931.8859436882,92.98821995
rxn00800,4.797312,485822.518990245,35.54862635
rxn00802,15.158095,510786.54223606025,106.8335547
rxn00806,11.282659,404947.05107036553,100.3034157
rxn00816,11.374247,1144877.732874788,35.76564381
rxn00832,3.0695274,564496.156888869,19.5755073
rxn00834,999.0,206514.2604,17414.77800629404
rxn00838,999.0,93533.5522,38450.37331961824
rxn00851,22.311548,352141.64995083894,228.0944978
rxn00853,24.834555,317237.2829440878,281.8218501
rxn00859,20.15329,463381.92707269435,156.5702928
rxn00861,2.6961215,884561.139609208,10.97271513
rxn00863,21.389614,463381.9270521347,166.1752561
rxn00866,63.655018,3949932.18795472,58.01569594
rxn00881_num1,2.0070672,299755.66499677475,24.10443826
rxn00882_num1,2.0070672,299755.66499677475,24.10443826
rxn00898,13.19973,1313560.2978725643,36.17574928
rxn00902,450.0,250043.2892,6478.878138194001
rxn00903,11.282659,404947.05107036553,100.3034157
rxn00907,8.338247,628862.7500375111,47.73329188
rxn00912_num1,7.4742913,2923111.5601065382,9.205070736
rxn00917,2.061855,1156730.8499714753,6.416944789
rxn00921,4.607616,269591.63302176446,61.52793918
rxn00927,2.0844984,508468.5770081069,14.7584228
rxn00952,5.6834574,1767247.8035450685,11.5775765
rxn00966,36.3508,117642.5869996734,1112.376762
rxn00974,2.6450222,819954.2233439838,11.61294088
rxn01000,5.2324657,362228.0429883152,52.00281117
rxn01018,60.092667,346499.2220229711,624.3407992
rxn01019,77.93751,340175.91098068835,824.7939579
rxn01029,3.3087344,357488.39103160193,33.31980601
rxn01066,123.83456,769044.2520372787,579.6862987
rxn01069,28.622375,504036.8979689575,204.4305693
rxn01100,999,41387.170397677,86896.4939
rxn01102,25.411358,397273.28303460055,230.271938
rxn01106,96.21932,518760.5020327029,667.7253774
rxn01116,14.00948,237541.21105123765,212.3173818
rxn01117,63.425457,361895.78400928754,630.9320398
rxn01137_num1,6.6565123,583480.4169339692,41.06983471
rxn01143,3.9863021,883770.0122424796,16.23803406
rxn01157,6.4447393,362228.04297269706,64.05098095
rxn01171,1961.3295,418891.7710298505,16855.8723
rxn01200,8.815278,721093.2369430481,44.00956655
rxn01208,16.956,754551.7199969225,80.89783428
rxn01210,7.0958405,480822.1290047914,53.1278081
rxn01213,2.6429548,322917.7199791255,29.46458708
rxn01216,99.93143,499028.435025613,720.9071122
rxn01219,32.386414,228546.6909960992,510.1412315
rxn01222,29.558289,309164.17497986264,344.1855461
rxn01225_num1,32.96992,474767.2139505685,249.9998073
rxn01231,7.064275,434237.6159683619,58.56560801
rxn01241,40.238125,994907.770171769,145.5986719
rxn01255,18.811684,1533272.9920637412,44.16830059
rxn01256,23.258766,117642.58699908672,711.7452934
rxn01257_num1,6.4607406,226488.80189315847,102.6923449
rxn01268,19.0383,641009.1360394378,106.9218458
rxn01269,18.095522,641009.1361860225,101.6270682
rxn01274,40.358574,268263.176013333,541.598249
rxn01275,9.354154,188121.02595086393,179.0068613
rxn01292,26.979475,522670.7640960159,185.8265598
rxn01300,40.8,36737.325,3998.1136351108853
rxn01303_num1,14.565697,823682.4980644011,63.66107004
rxn01329,76.44441,499028.43499122415,551.4713325
rxn01331,34.804882,1444067.543922076,86.76711538
rxn01332,5.5384173,489163.328052036,40.76001028
rxn01334,26.177021,327909.81496744585,287.3877856
rxn01351,30.451435,309164.1749836867,354.5856049
rxn01362_num1,7.129025,415598.15597469336,61.75313733
rxn01368_num1,72.02591,171681.73700181275,1510.31368
rxn01388,2.4921398,819954.222905689,10.94171239
rxn01396,3.200642,367373.2500031171,31.36404515
rxn01454,2.0919511,412567.7069606914,18.2540316
rxn01465_num1,58.477573,431472.4779762043,487.9089016
rxn01466,3.8918803,322917.71999777417,43.38804659
rxn01476,29.302698,255308.6710166747,413.1849983
rxn01479,6.857079,246724.71990237513,100.0527406
rxn01484,53.481537,411246.07397954696,468.1711155
rxn01485,89.71085,478942.1649660337,674.3174513
rxn01486_num1,3.2552843,322917.7199767252,36.29105111
rxn01499,59.97575,3949932.187970941,54.66238146
rxn01512,16.02821,245282.0849828334,235.2457009
rxn01513,7.4010105,237846.9579296636,112.0200907
rxn01518,9.736953,883770.0120461254,39.66306881
rxn01519_num1,5.9089108,156798.1130280962,135.665401
rxn01520,2.635214,671721.7642224624,14.12306539
rxn01521_num1,34.534653,277249.00097100076,448.4227188
rxn01530_num1,23.940586,361220.0999615778,238.5972143
rxn01547,12.072551,283004.1100389356,153.5708566
rxn01575,9.7223015,404947.05098310247,86.43175772
rxn01600,30.502792,582798.5190383762,188.4185488
rxn01602,8.409977,161142.01104142584,187.8834514
rxn01603,4.7572184,480822.1289451,35.61813238
rxn01635,11.998092,351451.1018620092,122.8994047
rxn01637,6.3605013,857198.5719421665,26.71236914
rxn01639,9.801223,564496.156978785,62.50601065
rxn01641,25.449604,324822.2910436422,282.057534
rxn01643,12.897575,742544.2879537962,62.52996724
rxn01644_num1,112.5111,1239961.9040831288,326.6551647
rxn01653,3.5169957,240412.05300006128,52.66451645
rxn01671,1.5130811,342728.7830141761,15.89330173
rxn01672,3.3889008,618187.2119061685,19.73519129
rxn01673,16.02821,245282.0849828334,235.2457009
rxn01682_num1,5.8908606,2926630.663974987,7.246250243
rxn01739,24.088636,196083.52298628876,442.2558728
rxn01740,146.02414,631157.1339973654,832.8938638
rxn01790,0.91339105,365744.25301142776,8.990456454
rxn01791_num1,4.4957805,645182.9259076925,25.08561394
rxn01800_num1,72.02591,171681.73700181275,1510.31368
rxn01807,3.200642,367373.2500031171,31.36404515
rxn01834_num1,2.7900333,158706.51200997102,63.28738344
rxn01843,26.358053,317237.2830356578,299.1104636
rxn01851,14.206658,742544.2879470893,68.87665777
rxn01858_num1,8.621029,378808.2990028116,81.92984283
rxn01871,9.354603,936657.538006724,35.95398471
rxn01917,66.04705,317092.34902095364,749.8426901
rxn01948,63.655018,3949932.18795472,58.01569594
rxn01962,20.440193,458731.6721045271,160.4090131
rxn01964_num1,7.042864,2926630.663880313,8.663310582
rxn01973,18.633085,800381.0180377981,83.80896659
rxn01974,17.181734,585943.763798266,105.5634452
rxn02008,8.892607,474757.43300263217,67.43103525
rxn02009,0.50606835,240412.053011746,7.578014651
rxn02011,9.042431,517557.71998482937,62.89685255
rxn02107,12.611826,742544.2880281737,61.14460017
rxn02155,7.7241883,246724.71992772314,112.7048716
rxn02159,16.856796,463381.92697242845,130.9599319
rxn02166,16.2579,630106.8880127157,92.88652626
rxn02175,2.1114593,1202276.5199755814,6.322383706
rxn02181,10.63793,653911.8329560091,58.56530815
rxn02182,16.574104,510786.5420055153,116.8135209
rxn02185_num1,18.505384,1018206.8509685971,65.42814197
